"title","authors","journal","year","doi","type"
"DeBAR : Deflection Based Adaptive Router with Minimal Buffering","John Jose, Bhawna Nayak, Kranthikumar, Madhu Mutyam","Proceedings of the 17th IEEE/ACM International Conference on Design, Automation and Test in Europe [DATE-2013], Grenoble, France, March, 2013, pp:1583-1588.","2013","https://ieeexplore.ieee.org/document/6513768/","conference"
"SLIDER: Smart Late Injection DEflection Router for Mesh NoCs","Bhawna Nayak, John Jose, Madhu Mutyam","Proceedings of the 31st IEEE International Conference on Computer Design [ICCD-2013], Asheville, USA, October, 2013, pp: 377-383.","2014","https://ieeexplore.ieee.org/document/6657068","conference"
"Minimally Bufferred Single-Cycle Deflection Router for Mesh NoCs","Gananeswara Rao, John Jose, Rachana Radhkrishnan, Madhu Mutyam","Proceedings of the 18th IEEE/ACM International Conference on Design, Automation and Test in Europe [DATE-2014], Dresden, Germany, March 2014, Article No:310","2014","https://ieeexplore.ieee.org/abstract/document/6800524","conference"
"WeDBless : Weighted Deflection Bufferless Router for Mesh NoCs","Simi Zerine Sleeba, John Jose, Mini M.G.","Proceedings of the 24th IEEE International Great Lakes Symposium on Very Large Scale Integration [GLSVLSI-2014], Houston, USA, May, 2014, pp:77-78.","2014","https://dl.acm.org/doi/10.1145/2591513.2591559","conference"
"A Novel Energy Efficient Source Routing for Mesh NoCs","Meril Rani John, Reenu James, John Jose, Elizabeth Isaac, Jobin K. Antony","Proceedings of the 4th International Conference on Advances in Computing and Communications [ICACC-2014], Kochi, India, August, 2014, pp: 125-129.","2014","https://ieeexplore.ieee.org/document/6906005","conference"
"Study and Analysis of Various Task Scheduling Algorithms in the Cloud Computing Environment","Teena Mathew, Chandrasekaran K, John Jose","Proceedings of the 3rd International Conference on Advances in Computing, Communications and Informatics [ICACCI-2014], Noida, India, September, 2014, pp: 658-664.","2014","https://ieeexplore.ieee.org/document/6968517","conference"
"An Energy Efficient Load Balancing Selection Strategy for Adaptive NoC Routers","John Jose, Bivil Jacob, Hashim Kamal","Proceedings of the 7th ACM International Workshop on Network on Chip Architectures [NoCArc-2014], collocated with 47th IEEE Symposium on Microarchitecture, Cambridge, United Kingdom, December, 2014, pp 31-36.","2014","https://dl.acm.org/doi/10.1145/2685342.2685350","conference"
"Smart Port Allocation in Adaptive NoC Routers","Reenu James, John Jose, Jobin K. Antony","Proceedings of the 28th IEEE International Conference on VLSI Design [VLSID-2015], Bangalore, India , January, 2015, pp:475-480.","2015","https://ieeexplore.ieee.org/document/7031780","conference"
"Implementation and Analysis of History Based Output Channel Selection Strategies for Adaptive Routers in Mesh NoCs","John Jose, Madhu Mutyam","ACM Transactions on Design Automation of Electronic Systems[ACM-TODAES], Volume-19(4), Article-35, August, 2014,pp:35.11- 35.22.","2014","https://dl.acm.org/doi/10.1145/2647952","journal"
"Deflection Router for Mesh NoC with Multicast Support Mechanism","Elizabeth Isaac, M Rajasekhara Babu, John Jose","International Journal of Computer Information Systems and Industrial Management Applications, ISSN 2150-7988, [IJCISIM], Volume-9, 2017, pp:087–095.","2017","https://www.mirlabs.net/ijcisim/regular_papers_2017/IJCISIM_44.pdf","journal"
"Impact of deflection history based priority on adaptive deflection router for mesh NoCs","Elizabeth Isaac, M Rajasekhara Babu, John Jose","Inderscience International Journal of Electronic Government [IJEG], Volume-13, No. 4, 2017, pp:391–407.","2017","https://www.inderscienceonline.com/doi/abs/10.1504/EG.2017.087997?journalCode=eg","journal"
